grade,genre,Nationality
12세이상관람가,"애니메이션,스릴러,어드벤처",일본
12세이상관람가,"애니메이션,어드벤처,스릴러",일본
전체관람가,애니메이션,일본
전체관람가,애니메이션,미국
전체관람가,"애니메이션,멜로/로맨스",일본
전체관람가,애니메이션,미국
청소년관람불가,멜로/로맨스,한국
15세이상관람가,다큐멘터리,한국
15세이상관람가,드라마,미국
전체관람가,애니메이션,프랑스
전체관람가,"판타지,멜로/로맨스",프랑스
전체관람가,애니메이션,미국
12세이상관람가,드라마,프랑스
12세이상관람가,"멜로/로맨스,드라마",미국
15세이상관람가,"액션,스릴러,어드벤처",미국
12세이상관람가,"미스터리,판타지",미국
15세이상관람가,코미디,한국
15세이상관람가,"액션,어드벤처,판타지",미국
15세이상관람가,액션,한국
전체관람가,애니메이션,영국
전체관람가,"애니메이션,어드벤처",영국
전체관람가,"애니메이션,어드벤처",영국
12세이상관람가,드라마,일본
전체관람가,"어드벤처,코미디,가족",미국
전체관람가,"애니메이션,가족,어드벤처,코미디",미국
12세이상관람가,드라마,한국
전체관람가,"애니메이션,어드벤처,가족,뮤지컬",프랑스
청소년관람불가,드라마,한국
전체관람가,"애니메이션,가족",중국
청소년관람불가,"코미디,드라마",미국
전체관람가,"판타지,가족",한국
전체관람가,애니메이션,일본
15세이상관람가,"액션,드라마",한국
12세이상관람가,"어드벤처,드라마",미국
전체관람가,"애니메이션,코미디,가족",미국
15세이상관람가,"범죄,코미디",한국
15세이상관람가,드라마,미국
청소년관람불가,드라마,캐나다
12세이상관람가,사극,한국
15세이상관람가,"액션,스릴러",한국
12세이상관람가,드라마,미국
15세이상관람가,"액션,범죄,스릴러",미국
15세이상관람가,"액션,범죄,스릴러",미국
청소년관람불가,"범죄,액션,드라마",한국
12세이상관람가,"판타지,멜로/로맨스",한국
12세이상관람가,"드라마,멜로/로맨스",미국
15세이상관람가,"코미디,멜로/로맨스",미국
15세이상관람가,멜로/로맨스,미국
청소년관람불가,스릴러,한국
청소년관람불가,드라마,미국
12세이상관람가,드라마,미국
전체관람가,"애니메이션,액션,코미디",미국
전체관람가,애니메이션,한국
15세이상관람가,액션,한국
12세이상관람가,사극,한국
12세이상관람가,멜로/로맨스,미국
12세이상관람가,"코미디,멜로/로맨스",한국
15세이상관람가,드라마,미국
청소년관람불가,"범죄,스릴러",한국
12세이상관람가,"액션,드라마,스릴러",미국
12세이상관람가,"전쟁,드라마",한국
전체관람가,다큐멘터리,한국
15세이상관람가,애니메이션,한국
12세이상관람가,드라마,미국
12세이상관람가,드라마,미국
15세이상관람가,"범죄,액션",한국
12세이상관람가,드라마,일본
12세이상관람가,"범죄,드라마",영국
15세이상관람가,"스릴러,드라마",한국
15세이상관람가,드라마,한국
전체관람가,"애니메이션,어드벤처,코미디",영국
15세이상관람가,드라마,한국
15세이상관람가,액션,미국
청소년관람불가,"사극,드라마",한국
전체관람가,다큐멘터리,한국
전체관람가,"애니메이션,코미디",한국
전체관람가,"애니메이션,어드벤처,코미디",미국
전체관람가,"애니메이션,가족",미국
15세이상관람가,"코미디,드라마",한국
12세이상관람가,"액션,어드벤처,판타지",미국
12세이상관람가,"액션,SF",미국
12세이상관람가,"드라마,멜로/로맨스",미국
12세이상관람가,드라마,미국
12세이상관람가,드라마,미국
15세이상관람가,"액션,코미디",미국
12세이상관람가,"액션,어드벤처,SF",미국
12세이상관람가,"스릴러,드라마",미국
15세이상관람가,"드라마,스릴러",미국
전체관람가,"애니메이션,어드벤처,코미디",미국
15세이상관람가,드라마,한국
12세이상관람가,"드라마,코미디",한국
15세이상관람가,스릴러,한국
청소년관람불가,"범죄,미스터리,스릴러",미국
전체관람가,멜로/로맨스,미국
12세이상관람가,"어드벤처,가족,판타지",미국
청소년관람불가,"범죄,액션",한국
15세이상관람가,드라마,한국
12세이상관람가,드라마,일본
15세이상관람가,"드라마,멜로/로맨스",아일랜드
15세이상관람가,"멜로/로맨스,코미디,드라마",한국
전체관람가,"애니메이션,뮤지컬",미국
청소년관람불가,"스릴러,드라마",한국
전체관람가,애니메이션,미국
15세이상관람가,코미디,미국
청소년관람불가,액션,미국
청소년관람불가,"범죄,드라마",미국
12세이상관람가,"코미디,가족,드라마",한국
청소년관람불가,"범죄,액션",한국
전체관람가,"애니메이션,어드벤처,코미디",미국
청소년관람불가,액션,한국
15세이상관람가,스릴러,한국
12세이상관람가,"드라마,멜로/로맨스",미국
15세이상관람가,"액션,드라마",한국
15세이상관람가,공포(호러),미국
12세이상관람가,"액션,SF",미국
전체관람가,애니메이션,미국
전체관람가,"애니메이션,판타지,어드벤처",프랑스
12세이상관람가,"액션,판타지",미국
12세이상관람가,"액션,어드벤처,판타지,SF",미국
15세이상관람가,"액션,드라마,전쟁",미국
15세이상관람가,"공포(호러),스릴러",미국
15세이상관람가,"스릴러,드라마,멜로/로맨스",미국
15세이상관람가,"SF,스릴러",미국
12세이상관람가,드라마,미국
청소년관람불가,"SF,스릴러",미국
12세이상관람가,"액션,판타지,SF,어드벤처",미국
12세이상관람가,"액션,어드벤처,판타지,SF",미국
12세이상관람가,"액션,SF",미국
청소년관람불가,드라마,한국
15세이상관람가,사극,한국
12세이상관람가,드라마,한국
15세이상관람가,"멜로/로맨스,코미디",한국
12세이상관람가,드라마,미국
12세이상관람가,드라마,스웨덴
